1,2460,82.021,END
2,2461,82.021,START
2,98,3.267,END
1,2935,97.800,START
1,4105,136.833,END
1,7846,261.500,START
1,8061,268.700,END
1,8647,288.200,START
1,9474,315.800,END
1,10353,345.067,START
1,10474,349.133,END
2,10475,349.133,START
2,11848,394.933,END
1,13885,462.800,START
1,14199,473.300,END
1,15670,522.300,START
1,16019,533.967,END
1,20351,678.333,START
1,20688,689.600,END
1,22967,765.533,START
1,25160,838.667,END
1,25233,841.067,START
1,25370,845.667,END
1,29214,973.767,START
1,30212,1007.067,END
1,32013,1067.067,START
1,33152,1105.067,END
1,44032,1467.700,START
1,44079,1469.300,END
2,44080,1469.300,START
2,44590,1486.333,END
1,50053,1668.400,START
1,50658,1688.600,END
2,50659,1688.600,START
2,51170,1705.667,END
3,51171,1705.667,START
3,51380,1712.667,END
4,51381,1712.667,START
4,51728,1724.267,END
1,56265,1875.467,START
1,56584,1886.133,END
1,8639,287.933,START
1,9625,320.833,END
2,9626,320.833,START
2,9996,333.200,END
1,11719,390.600,START
1,12852,428.400,END
2,12853,428.400,START
2,13851,461.700,END
1,22310,743.633,START
1,23467,782.233,END
1,25107,836.867,START
1,25517,850.567,END
1,33071,1102.333,START
1,33414,1113.800,END
1,44224,1474.100,START
1,44406,1480.200,END
2,44407,1480.200,START
2,44601,1486.700,END
3,44602,1486.700,START
3,44882,1496.067,END
2,47490,1582.967,START
2,47677,1589.233,END
3,47678,1589.233,START
3,48080,1602.667,END
1,49933,1664.400,START
1,50349,1678.300,END
1,53626,1787.500,START
1,53910,1797.000,END
1,57917,1930.533,START
1,59892,1996.400,END
1,62213,2073.733,START
1,62536,2084.533,END
2,62537,2084.533,START
2,62746,2091.533,END
1,1958,32.617,START
1,2473,41.217,END
2,2474,41.217,START
2,2799,46.650,END
2,3017,50.267,START
2,3218,53.633,END
1,9474,157.883,START
1,10807,180.117,END
2,10808,180.117,START
2,11940,199.000,END
2,12161,202.667,START
2,12360,206.000,END
1,17013,283.533,START
1,17399,289.983,END
1,20135,335.567,START
1,20624,343.733,END
1,31501,525.000,START
1,31585,526.417,END
2,31586,526.417,START
2,32149,535.817,END
1,38474,641.217,START
1,40166,669.433,END
2,40167,669.433,START
2,41166,686.100,END
1,87448,1457.450,START
1,88418,1473.633,END
1,94770,1579.483,START
1,94968,1582.800,END
2,94969,1582.800,START
2,97341,1622.350,END
1,99775,1662.900,START
1,100028,1667.133,END
1,112070,1867.817,START
1,112641,1877.350,END
1,119929,1998.800,START
1,120863,2014.383,END
1,1630,27.150,START
1,5315,88.583,END
2,5316,88.583,START
2,5872,97.867,END
1,7820,130.317,START
1,9265,154.417,END
2,9266,154.417,START
2,9816,163.600,END
1,28083,468.033,START
1,28653,477.550,END
2,28654,477.550,START
2,29686,494.767,END
3,29687,494.767,START
3,31266,521.100,END
1,36454,607.550,START
1,36770,612.833,END
1,36778,612.950,START
1,37555,625.917,END
1,37579,626.300,START
1,38305,638.417,END
1,41748,695.783,START
1,42036,700.600,END
1,63057,1050.933,START
1,65590,1093.167,END
1,85121,1418.667,START
1,85514,1425.233,END
1,91038,1517.283,START
1,92592,1543.200,END
1,100709,1678.467,START
1,100865,1681.083,END
1,18012,600.367,START
1,18082,602.733,END
2,18083,602.733,START
2,18695,623.167,END
1,20321,677.333,START
1,20478,682.600,END
1,23708,790.233,START
1,25057,835.233,END
1,8851,147.500,START
1,9550,159.167,END
1,42168,702.783,START
1,42913,715.217,END
1,67544,1125.717,START
1,67867,1131.117,END
1,75771,1262.833,START
1,75968,1266.133,END
1,76868,1281.117,START
1,77003,1283.383,END
1,77027,1283.767,START
1,77300,1288.333,END
1,77629,1293.800,START
1,77915,1298.583,END
1,78498,1308.283,START
1,78671,1311.183,END
1,78684,1311.383,START
1,79463,1324.383,END
1,83339,1388.967,START
1,83536,1392.267,END
1,83683,1394.700,START
1,83817,1396.950,END
1,84188,1403.117,START
1,84491,1408.183,END
1,85084,1418.050,START
1,85216,1420.267,END
1,85362,1422.683,START
1,85500,1425.000,END
1,88383,1473.033,START
1,88521,1475.350,END
1,89057,1484.267,START
1,89199,1486.650,END
1,89248,1487.450,START
1,89387,1489.783,END
1,89590,1493.150,START
1,89727,1495.450,END
1,89778,1496.283,START
1,90003,1500.050,END
1,90454,1507.550,START
1,90593,1509.883,END
1,90778,1512.950,START
1,90933,1515.550,END
1,91083,1518.033,START
1,91222,1520.367,END
1,91384,1523.050,START
1,91514,1525.233,END
1,92534,1542.217,START
1,92725,1545.417,END
1,92809,1546.800,START
1,92942,1549.033,END
1,93430,1557.150,START
1,93582,1559.700,END
1,96044,1600.717,START
1,96183,1603.050,END
1,96190,1603.150,START
1,96332,1605.533,END
1,97951,1632.500,START
1,103731,1728.850,END
1,113202,1886.683,START
1,113340,1889.000,END
1,114519,1908.633,START
1,114769,1912.817,END
1,116141,1935.667,START
1,120395,2006.583,END
1,120687,2011.433,START
1,120823,2013.717,END
1,121899,2031.633,START
1,122041,2034.017,END
1,128714,2145.217,START
1,129004,2150.067,END
1,129954,2165.883,START
1,130141,2169.017,END
1,130581,2176.333,START
1,130729,2178.817,END
1,2512,83.700,START
1,2665,88.833,END
1,5124,170.767,START
1,5413,180.433,END
1,15283,509.400,START
1,15502,516.733,END
2,15503,516.733,START
2,15755,525.167,END
3,15756,525.167,START
3,16922,564.067,END
4,16923,564.067,START
4,17243,574.767,END
